Title,Author,First Published Year,Subjects,Cover Image URL
The Mist,Stephen King,1925,Horror novel,http://covers.openlibrary.org/b/id/9330636-L.jpg
Fairy Tale,Stephen King,2022,nyt:combined-print-and-e-book-fiction=2022-09-25,http://covers.openlibrary.org/b/id/12924646-L.jpg
Riding the Bullet,Stephen King,2000,horror,http://covers.openlibrary.org/b/id/10713065-L.jpg
Rage,Stephen King,1977,psychological thriller,http://covers.openlibrary.org/b/id/8565707-L.jpg
"The Langoliers / Secret Window, Secret Garden",Stephen King,1990,Horror & ghost stories,http://covers.openlibrary.org/b/id/9257658-L.jpg
The Langoliers,Stephen King,1991,Horror & ghost stories,http://covers.openlibrary.org/b/id/8565901-L.jpg
Novellas (Library Policeman / Sun Dog),Stephen King,1992,speechwriting,http://covers.openlibrary.org/b/id/8413305-L.jpg
Blockade Billy,Stephen King,2010,Literature,http://covers.openlibrary.org/b/id/9324873-L.jpg
Gwendy's Final Task,Stephen King,2022,nyt:hardcover-fiction=2022-03-06,http://covers.openlibrary.org/b/id/11552056-L.jpg
The Sun Dog,Stephen King,1991,Polaroid cameras,http://covers.openlibrary.org/b/id/8566303-L.jpg
Blood and Smoke (1408 / In the Deathroom / Lunch at the Gotham Cafe),Stephen King,1999,,http://covers.openlibrary.org/b/id/405262-L.jpg
Nightmares & Dreamscapes. 2/2,Stephen King,1995,fiction,http://covers.openlibrary.org/b/id/11020183-L.jpg
Later,Stephen King,2021,nyt:combined-print-and-e-book-fiction=2021-03-21,http://covers.openlibrary.org/b/id/10354506-L.jpg
Novellas (Body / Breathing Method),Stephen King,1983,novellas,http://covers.openlibrary.org/b/id/9198109-L.jpg
The Breathing Method,Stephen King,1984,novella,http://covers.openlibrary.org/b/id/106363-L.jpg
Novels (Carrie / Salem's Lot / Shining),Stephen King,1983,Ghost,http://covers.openlibrary.org/b/id/321510-L.jpg
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,orphans,http://covers.openlibrary.org/b/id/10716273-L.jpg
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,Children's Books/Ages 9-12 Fiction,http://covers.openlibrary.org/b/id/10523466-L.jpg
